HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,98989,50271,48718,10693,5485,5208,205871,111543,94328,103406,102465,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,246
HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,164536,85482,79054,25645,13351,12294,298737,190001,108736,219235,79502,281583,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,410
HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,160745,83017,77728,11262,5912,5350,280083,169399,110684,193906,86177,249772,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,765
HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,215777,110828,104949,8755,4554,4201,430926,258628,172298,311770,119156,383084,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,1035
HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,14750,7433,7317,48746,23609,25137,56273,33863,22410,46782,9491,27848,32995,2537,944,19797,64732,448,485,249,18086,29,45,47
PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,580576,304894,275682,0,0,0,757138,637652,119486,625778,131360,1541185,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,15066
PUNJAB,Kapurthala,815168,426311,388857,576567,316254,260313,276707,143901,132806,0,0,0,284165,235562,48603,248208,35957,531003,55252,42387,9861,176665,336124,10190,5445,453692,6662,553,334,2168
PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,854444,442124,412320,0,0,0,774472,639484,134988,689592,84880,1419118,85695,66664,29762,592351,1394329,30233,26016,718363,11385,4011,805,8448
PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,557504,284322,273182,0,0,0,499822,412506,87316,411011,88811,1086803,89772,74362,15990,319698,1000743,23089,14968,538208,3476,2034,531,3576
PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,239155,199304,260284,133035,127249,0,0,0,204329,170252,34077,173507,30822,407981,42608,22626,9011,130084,401368,6829,1479,192885,5885,695,266,2903
PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,192493,101882,90611,0,0,0,214783,182777,32006,192845,21938,385380,44245,21389,8048,141101,152851,16808,1698,427521,48,178,251,808
PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,923358,487839,435519,0,0,0,1284822,1053600,231222,1138654,146168,2213917,140737,98646,71667,973772,1502403,77713,16517,1863408,2007,19620,1254,15817
